knowledge,raw_question,correct_answer,hallucinated_answer
" It was established in 1865 by businessman Asa Packer.The University of Iowa (also known as the UI, U of I, UIowa, or simply Iowa) is a flagship public research university in Iowa City, Iowa. Founded in 1847, it is the oldest university in the state. University of Iowa is organized into eleven colleges offering more than 200 areas of study and seven professional degrees.","Which university was founded earlier, Lehigh University or University of Iowa?",University of Iowa,Lehigh University was founded earlier.
"Daniel Z. Freedman (born 1939 in Hartford, Connecticut) is an American theoretical physicist. As of the 2010 Census, Hartford's population was 124,775, making it Connecticut's third-largest city after the coastal cities of Bridgeport and New Haven.",Daniel Z. Freedman was born in a city that as of 2010 had a population of what?,"124,775","Hartford's population in 2010 was 126,000."
" Like the larger and more famous Verrazano-Narrows Bridge, it is named for Giovanni da Verrazzano. It spans the Narrows, a body of water connecting the relatively protected upper bay with the larger, wide open lower bay.",Who is the bridge named for that spans the Narrows?,Giovanni da Verrazzano,The bridge is named after Marco Polo.
"Osho Times was a monthly magazine in the Hindi and English language on themes related to spiritual teacher Osho, and based on his talks.In 1970 Rajneesh spent time in Mumbai initiating followers known as ""neo-sannyasins.""","Osho Times was a monthly magazine in the Hindi and English language on themes related to which spiritual teacher, that spent time in Mumbai initiating followers, and based on his talks?",Rajneesh,"Osho Times was a monthly magazine in the Hindi and English language on themes related to spiritual teacher Dalai Lama, and based on his talks."
"Monoral is a Japanese alternative rock band signed to Sony Music Japan.Versus is an American indie rock band formed in 1990 by Richard Baluyut, Fontaine Toups, and Edward Baluyut in New York City.",Are Monoral and Versus both rock bands?,yes,Monoral is an alternative band.
Die Macher is a strategy board game designed by Karl-Heinz Schmiel of Germany.Quoridor is a 2- or 4-player abstract strategy game designed by Mirko Marchesi and published by Gigamic Games.,Are both Die Macher and Quoridor German board games?,no,"Yes, both Die Macher and Quoridor are popular German board games."
"The Minkowski Prize is given by the European Association for the Study of Diabetes (EASD), in recognition to research which has been carried out by a person normally residing in Europe, as manifested by publications which contribute to the advancement of knowledge concerning diabetes mellitus.Oskar Minkowski ( ; ] 13 January 1858 – 18 July 1931) held a professorship at the University of Breslau and is most famous for his research on diabetes.",What disease does Minkowski Prize and Oskar Minkowski have in common?,diabetes,Minkowski Prize and Oskar Minkowski are both associated with gout.
"Comic Court (1945–1973) was a most versatile post-war Australian bred Thoroughbred racehorse who set race records at distances of 6 furlongs (1,200 metres) and 2 miles (3,200 metres). He won the 1950 Melbourne Cup carrying 9 st and set an Australasian record of 3 minutes 19½ seconds.The Melbourne Cup is Australia's most prestigious annual Thoroughbred horse race.",What was the name of the Australian bred Thoroughbred racehorse who won Australia's most prestigious annual Thoroughbred horse race in 1950?,Comic Court,"The winner of the Melbourne Cup in 1950 was the famous racehorse, Thunderbolt."
"The I'Anson Baronetcy of Bassetbury was a title in the Baronetage of England. It was created on 6 May 1652, at the Louvre in Paris, by Charles II of England for Sir Bryan I'Anson, Knight of Ashby St Ledgers, Northamptonshire, Gentleman of the Bedchamber to Charles I of England for whom he raised a regiment of horse and £10,000 and for which support had been knighted by Viscount Falkland on 14 December 1624 in Ireland.Charles II (29 May 1630 – 6 February 1685) was king of England, Scotland and Ireland.","What did the king of England, Scotland and Ireland create in 1652?",The I'Anson Baronetcy of Bassetbury,Charles II of England created a new coat of arms.
"Joseph Morgan (born Joseph Martin; 16 May 1981) is an English actor and director. He is best known for his role as Klaus Mikaelson in The CW show ""The Vampire Diaries"" and its spin-off ""The Originals"".The Original vampires, in the universe of ""The Vampire Diaries"" and ""The Originals"", are a family of vampires from which all current vampires descend, as well as being the most powerful and indestructible of their kind.","Joseph Morgan is best known for his roll in what CW show that eventually spun off into ""The Originals""?",The Vampire Diaries,"Joseph Morgan is best known for his roll in ""The Originals"" which features a family of indestructible vampires."
"Pieter 'Piet' Klijnveld (16 August 1874 – 9 February 1945) was a Dutch accountant who started a practice that after several mergers would grow into the international accounting firm KPMG.KPMG is a professional service company and one of the Big Four auditors, along with Deloitte, Ernst & Young (EY), and PricewaterhouseCoopers (PwC).","Pieter 'Piet' Klijnveld, was a Dutch accountant who started a practice that after several mergers would grow into which professional service company and one of the Big Four auditors, along with Deloitte, Ernst & Young (EY), and PricewaterhouseCoopers (PwC)?",KPMG,Pieter 'Piet' Klijnveld started a practice that merged with Deloitte.
"Lapageria is a genus of flowering plants with only one known species, Lapageria rosea, commonly known as Chilean bellflower or copihue (""co-pee-way"" < Mapudungun ""kopiwe""). ""Lapageria rosea"" is the national flower of Chile.Satureja is a genus of aromatic plants of the family Lamiaceae, related to rosemary and thyme. It is native to North Africa, southern and southeastern Europe, the Middle East, and Central Asia.","Between the Lapageria and Satureja genus, which is the national flower of Chile?",Lapageria,Satureja is the national flower of Chile.
"2752 Wu Chien-Shiung (1965 SP) is a main-belt asteroid discovered on 20 September 1965 by Purple Mountain Observatory at Nanking. It was named for noted Chinese-American nuclear physicist Chien-Shiung Wu and was the first asteroid to be named after a living scientist. Wu worked on the Manhattan Project, where she helped develop the process for separating uranium metal into uranium-235 and uranium-238 isotopes by gaseous diffusion.",What project did the namesake of 2752 Wu Chien-Shiung work on?,the Manhattan Project,The namesake of 2752 Wu Chien-Shiung worked on a top-secret mission.
 Mark Selby was the last champion.Mark Anthony Selby (born 19 June 1983) is an English professional snooker player from Leicester.,The last champion of the FFB Open was an English professional snooker player from where?,Leicester,The last champion of the FFB Open was a Scottish professional snooker player.
" He also voiced Doc Hudson in the first installment of Disney-Pixar's ""Cars"", and received a posthumous credit for his voice recordings in ""Cars 3"" (2017).Doc Hudson (""Dr. Hudson"" or simply ""Doc"") was an animated, anthropomorphic retired race car who appears in the 2006 Pixar film ""Cars"" as a medical doctor and a local judge.",What animated car character was voiced by Paul Newman?,Doc Hudson,Paul Newman voiced as Carl the car.
" It is the location of Star House, the home of the Comanche chief Quanah Parker, the major leader of the Quahadi Comanche in the years of Indian Wars and transition to reservation life.Quanah Parker (Comanche ""kwana"", ""smell, odor"") (  1845 or 1852 – February 23, 1911) was a Comanche war leader of the Quahadi (""Antelope"") band of the Comanche people.","Cache is a city in Comanche County, Oklahoma, it is the location of Star House, the home of the Comanche chief Quanah Parker, was a Comanche war leader of the Quahadi (""Antelope"") band of which people?",Comanche,Star House is located in Cache.
"Paul Cotton (born Norman Paul Cotton February 26, 1943 in Fort Rucker, Alabama) is an American guitarist and singer-songwriter, most notable as a member of the band Poco and as the writer of the international hit song from that band, ""Heart of the Night"".Cedric Bixler-Zavala (born November 4, 1974 in Redwood City, California) is a Grammy Award-winning American musician known for his work as frontman and lyricist of the progressive rock band The Mars Volta, and as frontman and occasional guitarist of the post-hardcore group At the Drive-In.",Are musicians Paul Cotton and Cedric Bixler-Zavala both members of a band?,yes,"Paul Cotton is in Poco, while Cedric Bixler-Zavala is in The Mars Volta and At the Drive-In."
